Barrels (31 gallons) (2),Number of Breweries (1),,Total Barrels (3),Taxable Removals (4),Total Shipped (Exported) (6)
"6,000,001 Barrels and Over",17,,"153,023,498.63","141,659,034.45","4,385,750.82"
"2,000,000 to 6,000,000 Barrels",4,,"13,394,409.41","12,862,214.07","495,472.05"
"1,000,001 to 1,999,999 Barrels",4,,"4,821,249.30","4,665,737.17","35,344.17"
"500,001 to 1,000,000 Barrels",7,,"4,797,758.09","4,476,211.00","4,972.90"
"100,001 to 500,000 Barrels",38,,"7,637,584.41","6,147,217.43","275,310.15"
"60,001 to 100,000 Barrels",24,,"1,824,548.27","1,608,488.44","24,431.21"
"30,001 to 60,000 Barrels",52,,"2,271,814.70","1,909,650.87","58,028.54"
"15,001 to 30,000 Barrels",51,,"1,087,970.73","921,515.39","18,103.53"
"7,501 to 15,000 Barrels",81,,"842,820.06","740,591.81","6,428.53"
"1,001 to 7,500 Barrels",645,,"1,693,579.73","1,479,649.00","6,369.45"
"1 to 1,000 Barrels","1,923",,"602,141.42","528,020.28",922.77
Total,"2,846",,"191,997,374.75","176,998,329.91","5,311,134.12"
